S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Political Science,COMPARATIVE POLITICS,25hrs 35min,12th,English/Hindi,Module 1: Introduction to Comparative Politics,"COMPARATIVE POLITICS: Meaning, Nature, Scope",https://www.youtube.com/watch?v=4Z9dyL6mEz4
2,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 1: Introduction to Comparative Politics,COMPARATIVE POLITICS: EVOLUTION,https://www.youtube.com/watch?v=NkIpjrC05F0
3,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 1: Introduction to Comparative Politics,COMPARATIVE POLITICS: TRADITIONAL APPROACHES,https://www.youtube.com/watch?v=TWdwn5-L_XI
4,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 2: Approaches and Ideologies in Comparative Politics,COMPARATIVE POLITICS: MODERN APPROACHES,https://www.youtube.com/watch?v=ocf-_NQy_dM
5,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 2: Approaches and Ideologies in Comparative Politics,"CAPITALISM: MEANING, NATURE, DIMENSIONS",https://www.youtube.com/watch?v=5CCBw0SkrDg
6,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 2: Approaches and Ideologies in Comparative Politics,"CAPITALISM: Evolution, Globalization, Challenges",https://www.youtube.com/watch?v=7Gu7cpJDrYI
7,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,"Module 3: State, Colonialism, and Development",Socialism: Meaning and Comparison,https://www.youtube.com/watch?v=MJ92jcDiI2k
8,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,"Module 3: State, Colonialism, and Development",RISE AND FALL OF STATE SOCIALISM IN EUROPE,https://www.youtube.com/watch?v=7LndX4ynVTQ
9,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,"Module 3: State, Colonialism, and Development","EUROCENTRISM IN COMPARATIVE POLITICS: MEANING, FEATURES, IMPACTS",https://www.youtube.com/watch?v=USf1m9B3XR8
10,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 4: Comparative Political Systems,"COLONIALISM: MEANING, FEATURES, IMPACTS",https://www.youtube.com/watch?v=yazyD_l2_sU
11,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 4: Comparative Political Systems,"DE-Colonization and Post Colonial States: Process, Form, Features",https://www.youtube.com/watch?v=bUYgy1Kgoq0
12,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 4: Comparative Political Systems,COMPARATIVE STUDY OF BRAZIL: CONSTITUTIONAL DEVELOPMENT AND POLITICAL ECONOMY,https://www.youtube.com/watch?v=MkmKGRoF2uU
13,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 4: Comparative Political Systems,COMPARATIVE POLITICS OF NIGERIA: CONSTITUTIONAL DEVELOPMENT AND POLITICAL ECONOMY,https://www.youtube.com/watch?v=GlICHXDugFs
14,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 5: Political Economy and Development,COMPARATIVE POLITICS OF BRITAIN: CONSTITUTIONAL DEVELOPMENT AND POLITICAL SYSTEM,https://www.youtube.com/watch?v=ZW7ehiJjhD8
15,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 5: Political Economy and Development,POLITICAL ECONOMY OF BRITAIN,https://www.youtube.com/watch?v=ghd_amU0lxc
16,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 5: Political Economy and Development,CHINA: CONSTITUTIONAL DEVELOPMENT AND POLITICAL ECONOMY,https://www.youtube.com/watch?v=6buUGLnZnQI
17,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 6: Political Institutions and Processes,PAST YEAR'S PAPER ANALYSIS : COMPARATIVE POLITICS,https://www.youtube.com/watch?v=ymg2oog6cIE
18,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 6: Political Institutions and Processes,POLITICAL CULTURE APPROACH TO COMPARATIVE POLITICS,https://www.youtube.com/watch?v=Ue-axWGXCgI
19,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 6: Political Institutions and Processes,"NEW INSTITUTIONALISM: MEANING, TYPES, OLD VS NEW INSTITUTIONALISM",https://www.youtube.com/watch?v=xfeJ3TIBp-k
20,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 7:  Democracy and Democratization,"3 NEW INSTITUTIONALISMS: RATIONAL CHOICE, CULTURAL, STRUCTURAL",https://www.youtube.com/watch?v=IMFGJXBH5wQ
21,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 7:  Democracy and Democratization,"NATION-STATE : MEANING, PROCESSES, EVOLUTION, DEBATES",https://www.youtube.com/watch?v=wR5Hxft8X7U
22,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 7:  Democracy and Democratization,"FEDERALISM: MEANING, MODELS, CHALLENGES, DEBATES",https://www.youtube.com/watch?v=qShMa2DltEI
23,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 8: Party Systems and Comparative Politics,"ELECTORAL SYSTEM,: MEANING, TYPES, PROS & CONS - FPTP Vs PR SYSTEM",https://www.youtube.com/watch?v=LuKUd3TDoYw
24,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 8: Party Systems and Comparative Politics,SINGLE TRANSFERABLE VOTING (STV) EXPLAINED,https://www.youtube.com/watch?v=AoVA8vdvEz4
25,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 8: Party Systems and Comparative Politics,"DEMOCRATIZATION : Meaning, Pattern, Factors",https://www.youtube.com/watch?v=H-AfDYI3opU
26,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,"DEMOCRATIZATION IN POST-COLONIAL, POST-COMMUNIST, AND POST-AUTHORITARIAN STATES",https://www.youtube.com/watch?v=UXmJwi8jySs
27,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,"COMPARATIVE PARTY POLITICS: MEANING, FEATURES, EVOLUTION, DEBATE",https://www.youtube.com/watch?v=9rro3QekKjg
28,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,COMPARATIVE PARTY POLITICS: TYPES OF PARTY SYSTEM,https://www.youtube.com/watch?v=QEjDykpVRww
29,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,EVOLUTION OF PARTY SYSTEM : A COMPARATIVE PERSPECTIVE,https://www.youtube.com/watch?v=3-B3GXxLXqs
30,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,Past 3 Year's Paper Analysis Comparative Politics Sem 3 BA Hons. Pol Sc,https://www.youtube.com/watch?v=tLIC8l3lrcc
31,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,"Past 3 years' paper analysis: Introduction to Comparative Govt and Politics, BA Hons. Pol Sc",https://www.youtube.com/watch?v=WNP1itEUtaA
32,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,"Past 3 years' paper analysis: Perspectives on Public Administration s, BA Hons. Pol Sc",https://www.youtube.com/watch?v=SAOGDInpsEU
33,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,"Past 3 years' paper analysis: International Relation, BA Hons. Pol Sc",https://www.youtube.com/watch?v=gS0W0GJbYUk
34,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,UP Election 2022 (EP-144)  बीजेपी नेता को जब मुस्लिम युवकों ने कई सवालों पर यू घेर लिया - Ajit Anjum,https://www.youtube.com/watch?v=0kM__kMngio
35,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,Past Year's Paper Analysis Political Processes and Institutions in Comparative Perspective,https://www.youtube.com/watch?v=Zr7rVF0MMs8
36,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,"Past Year's Paper Analysis Public Policy and Administration in India, Semester 4, Pol Sc Hons CBCS",https://www.youtube.com/watch?v=kSrz5ph6ezE
37,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,Past 3 Year's Paper Analysis Comparative Politics Sem 3 BA Hons. Pol Sc,https://www.youtube.com/watch?v=yhuJOKgEBHg
38,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,Past Year's Paper Analysis Political Processes and Institutions in Comparative Perspective- Sem 4,https://www.youtube.com/watch?v=5PtzaBSnpRo
39,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,Past Year's Paper AnalysisPublic Policy and Administration in India- Sem 4,https://www.youtube.com/watch?v=l-GWdoF7vCk
40,Political Science,COMPARATIVE POLITICS,,12th,English/Hindi,Module 9: Past Year's Paper Analysis,Past Year's Paper Analysis Global Politics - Sem 4,https://www.youtube.com/watch?v=9vnXcqhqeXo
